Source,Target,Weight,Ref,Group,Color,Label,TargetGroup,TargetColor,TargetLabel,Portal
maps:maps_apex_assignrecords,https:help_salesforce_com_s_articleView,1,xref,maps,#feb8ab,Maps - Maps Apex Assignrecords,https,maroon,External Link,dev_guides
api_cti:sforce_api_cti_getcallcentersettings_lex,resource_files:reusables_global:reusable_apiversion,1,conref,api_cti,#8F2746,CTI API - Sforce Api Cti Getcallcentersettings Lex,resource_files,Cyan,Resources,dev_guides
api_streaming:using:using_streaming_api_durability,resource:misc_events,2,conref,api_streaming,#4a2413,Streaming API - Using Streaming Api Durability,resource,Cyan,Resource,dev_guides
api_streaming:using:using_streaming_api_durability,resource_files:reusables_global:reusable_apiversion,1,conref,api_streaming,#4a2413,Streaming API - Using Streaming Api Durability,resource_files,Cyan,Resources,dev_guides
api_streaming:code_examples:code_sample_java_download_jars,https:github_com_forcedotcom_EMP-Connector_tree_master_src_main_java_com_salesforce_emp_connector_example,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Download Jars,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_download_jars,https:github_com_forcedotcom_EMP-Connector_blob_master_src_main_java_com_salesforce_emp_connector_example_LoginExample_java,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Download Jars,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_download_jars,https:github_com_forcedotcom_EMP-Connector_blob_master_src_main_java_com_salesforce_emp_connector_example_BearerTokenExample_java,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Download Jars,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_download_jars,https:github_com_forcedotcom_EMP-Connector_blob_master_src_main_java_com_salesforce_emp_connector_example_DevLoginExample_java,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Download Jars,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_prereqs,http:__www_oracle_com_technetwork_java_javase_downloads_index-jsp-138363_html,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Prereqs,http,firebrick,External Link,dev_guides
api_streaming:code_examples:code_sample_java_prereqs,http:__www_eclipse_org_downloads_eclipse-packages_,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Prereqs,http,firebrick,External Link,dev_guides
api_streaming:code_examples:code_sample_java_prereqs,https:maven_apache_org_index_html,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Prereqs,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_prereqs,api:quickstart:sforce_api_quickstart_steps_obtain_dev_org,1,conref,api_streaming,#4a2413,Streaming API - Code Sample Java Prereqs,api,#0176d3,API,dev_guides
api:quickstart:sforce_api_quickstart_steps_obtain_dev_org,https:developer_salesforce_com_signup,1,xref,api,#0176d3,API - Sforce Api Quickstart Steps Obtain Dev Org,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_emp_connector,https:github_com_forcedotcom_EMP-Connector,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Emp Connector,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_add_source,https:github_com_forcedotcom_EMP-Connector_blob_master_src_main_java_com_salesforce_emp_connector_example_LoginExample_java,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Add Source,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_auth_oauth,http:__oauth_net_2_,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Auth Oauth,http,firebrick,External Link,dev_guides
api_streaming:code_examples:code_sample_auth_oauth,https:help_salesforce_com_articleView,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Auth Oauth,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_auth_oauth,resource_files:reusables_global:reusable_apiversion,2,conref,api_streaming,#4a2413,Streaming API - Code Sample Auth Oauth,resource_files,Cyan,Resources,dev_guides
api_streaming:code_examples:code_sample_auth_oauth,help:resource:setup:my_domain_reusables,1,conref,api_streaming,#4a2413,Streaming API - Code Sample Auth Oauth,help,#936AAB,Help,dev_guides
api_streaming:code_examples:code_sample_java_add_source_oauth,https:help_salesforce_com_articleView,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Add Source Oauth,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_add_source_oauth,https:help_salesforce_com_,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Add Source Oauth,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_add_source_oauth,https:github_com_forcedotcom_EMP-Connector_blob_master_src_main_java_com_salesforce_emp_connector_example_BearerTokenExample_java,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Add Source Oauth,https,maroon,External Link,dev_guides
api_streaming:code_examples:code_sample_java_add_source_oauth,help:help:remoteaccess:remoteaccess_authenticate,1,conref,api_streaming,#4a2413,Streaming API - Code Sample Java Add Source Oauth,help,#936AAB,Help,dev_guides
api_streaming:code_examples:code_sample_java_client_intro,https:github_com_forcedotcom_EMP-Connector,1,xref,api_streaming,#4a2413,Streaming API - Code Sample Java Client Intro,https,maroon,External Link,dev_guides
sfdx_dev:source_tracking:sfdx_dev_source_tracking_best_practices,https:developer_salesforce_com_docs_metadata-coverage,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Source Tracking Best Practices,https,maroon,External Link,dev_guides
sfdx_dev:source_tracking:sfdx_dev_source_tracking_source_tracking_profiles,https:developer_salesforce_com_docs_atlas_en-us_api_meta_meta_api_meta_meta_profile_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Source Tracking Source Tracking Profiles,https,maroon,External Link,dev_guides
sfdx_dev:workspace_setup:sfdx_dev_ws_mpd,https:developer_salesforce_com_blogs_2018_06_working-with-modular-development-and-unlocked-packages-part-1_html,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Ws Mpd,https,maroon,External Link,dev_guides
sfdx_dev:workspace_setup:sfdx_dev_ws_clone_repo,https:developer_salesforce_com_code-samples-and-sdks,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Ws Clone Repo,https,maroon,External Link,dev_guides
sfdx_dev:workspace_setup:sfdx_dev_cli_env_variables,https:www_verdaccio_org_,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Cli Env Variables,https,maroon,External Link,dev_guides
sfdx_dev:workspace_setup:sfdx_dev_cli_env_variables,https:nodejs_org_api_cli_html#cli_node_extra_ca_certs_file,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Cli Env Variables,https,maroon,External Link,dev_guides
sfdx_dev:develop:sfdx_dev_testing,https:developer_salesforce_com_docs_atlas_en-us_sfdx_cli_reference_meta_sfdx_cli_reference_cli_reference_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Testing,https,maroon,External Link,dev_guides
sfdx_dev:develop:sfdx_dev_testing,https:help_salesforce_com_articleView,2,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Testing,https,maroon,External Link,dev_guides
sfdx_dev:develop:sfdx_dev_testing,https:developer_salesforce_com_docs_atlas_en-us_apexcode_meta_apexcode_apex_deploying_ant_deploy_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Testing,https,maroon,External Link,dev_guides
sfdx_dev:intro:sfdx_dev_intro,https:marketplace_visualstudio_com_items,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Intro,https,maroon,External Link,dev_guides
sfdx_dev:intro:sfdx_dev_intro,https:developer_salesforce_com_docs_atlas_en-us_sfdx_setup_meta_sfdx_setup_sfdx_setup_intro_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Intro,https,maroon,External Link,dev_guides
sfdx_dev:intro:sfdx_dev_intro,https:developer_salesforce_com_docs_atlas_en-us_sfdx_setup_meta_sfdx_setup_sfdx_setup_sf_intro_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Intro,https,maroon,External Link,dev_guides
sfdx_dev:intro:sfdx_dev_intro,sfdx_setup:sfdx_setup_enable_devhub,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Intro,sfdx_setup,MediumBlue,SFDX Setup,dev_guides
sfdx_dev:auth:sfdx_dev_auth_connected_app,https:help_salesforce_com_articleView,4,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Auth Connected App,https,maroon,External Link,dev_guides
sfdx_dev:auth:sfdx_dev_auth_connected_app,https:tools_ietf_org_html_rfc6749#section-4_1,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Auth Connected App,https,maroon,External Link,dev_guides
sfdx_dev:ci:sfdx_dev_ci_travis,https:github_com_forcedotcom_sfdx-travisci-org,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Ci Travis,https,maroon,External Link,dev_guides
sfdx_dev:ci:sfdx_dev_ci_travis,https:github_com_forcedotcom_sfdx-travisci-package,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Ci Travis,https,maroon,External Link,dev_guides
sfdx_dev:unlocked_pkg:sfdx_dev_unlocked_pkg_org_shape,https:www_salesforce_com_company_legal_agreements_,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Unlocked Pkg Org Shape,https,maroon,External Link,dev_guides
sfdx_dev:unlocked_pkg:sfdx_dev_unlocked_pkg_org_shape,https:developer_salesforce_com_docs_atlas_en-us_sfdx_dev_meta_sfdx_dev_sfdx_dev_shape_intro_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Unlocked Pkg Org Shape,https,maroon,External Link,dev_guides
sfdx_dev:unlocked_pkg:sfdx_dev_unlocked_pkg_org_shape,https:developer_salesforce_com_docs_atlas_en-us_sfdx_dev_meta_sfdx_dev_sfdx_dev_shape_enable_org_shape_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Unlocked Pkg Org Shape,https,maroon,External Link,dev_guides
sfdx_dev:unlocked_pkg:sfdx_dev_unlocked_pkg_org_shape,https:developer_salesforce_com_docs_atlas_en-us_sfdx_dev_meta_sfdx_dev_sfdx_dev_shape_create_shape_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Unlocked Pkg Org Shape,https,maroon,External Link,dev_guides
sfdx_dev:unlocked_pkg:sfdx_dev_unlocked_pkg_installed_pkgs_uninstall,help:help:distribution:distribution_uninstalling_packages,2,conref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Unlocked Pkg Installed Pkgs Uninstall,help,#936AAB,Help,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_scratch_orgs_version_selection,https:status_salesforce_com,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Scratch Orgs Version Selection,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_scratch_orgs_version_selection,https:sfdc_co_RR-Pre-Release,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Scratch Orgs Version Selection,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_source_file_format,https:developer_salesforce_com_docs_atlas_en-us_communities_dev_meta_communities_dev_communities_dev_migrate_expbundle_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Source File Format,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_supported_mdapi_types,https:mdcoverage_secure_force_com_docs_metadata-coverage,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Supported Mdapi Types,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_supported_mdapi_types,https:developer_salesforce_com_docs_atlas_en-us_api_meta_meta_api_meta_meta_types_list_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Supported Mdapi Types,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_scratch_orgs_editions_and_allocations,https:developer_salesforce_com_docs_atlas_en-us_packagingGuide_meta_packagingGuide_isv_partner_scratch_org_editions_htm,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Scratch Orgs Editions And Allocations,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_scratch_orgs_editions_and_allocations,https:developer_salesforce_com_signup,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Scratch Orgs Editions And Allocations,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:sfdx_dev_scratch_orgs_editions_and_allocations,sfdx_setup:sfdx_setup_enable_devhub,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - Sfdx Dev Scratch Orgs Editions And Allocations,sfdx_setup,MediumBlue,SFDX Setup,dev_guides
sfdx_dev:scratch_orgs:features:so_servicecloudvoicepartnertelephony,https:help_salesforce_com_articleView,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - So Servicecloudvoicepartnertelephony,https,maroon,External Link,dev_guides
sfdx_dev:scratch_orgs:features:so_casewrapup,https:help_salesforce_com_articleView,1,xref,sfdx_dev,LightSeaGreen,SFDX Dev - So Casewrapup,https,maroon,External Link,dev_guides
